t (seconds)	copper (deg F)	aluminum (deg F)	steel (deg F)
0	56	56.1	58.9
1	57.2	56.1	58.9
2	57.2	56.1	58.9
3	57.2	56.6	58.9
4	57.6	56.6	58.9
5	57.6	56.6	58.9
6	57.6	56.6	58.9
7	57.6	56.3	58.9
8	57.6	56.3	58.9
9	57.3	56.3	58.9
10	57.3	56.3	58.9
11	57.3	56.3	58.9
12	57.3	56.3	58.9
13	57.3	56.7	58.9
14	57.3	56.7	58.9
15	57.3	56.4	58.9
16	57.3	56.4	58.9
17	57.3	56.4	58.9
18	57.3	56.4	59.2
19	57.3	56.4	59.2
20	57.3	56.4	59.2
21	57.3	56.4	59.2
22	57.3	56.4	59.2
23	57.3	56.4	59.2
24	57.3	56.4	59.2
25	57.3	56.4	59.2
26	57.3	56.4	59.2
27	57.3	56.4	58.9
28	57.3	56.4	58.9
29	57.8	56.4	58.9
30	58.4	57.2	58.9
31	58.4	57.2	58.9
32	58.9	57.2	59.1
33	59.4	56.8	59.1
34	59.4	56.8	59.1
35	59.4	56.8	58.8
36	59.9	57.1	58.8
37	59.9	57.1	58.8
38	60.4	57.1	58.6
39	60.4	57.1	58.6
40	60.4	57.5	58.6
41	61.1	57.5	58.6
42	61.1	57.5	58.6
43	61.9	58	59.1
44	62.4	58	59.1
45	62.4	58	59.1
46	62.9	58.3	59.6
47	62.9	58.3	59.6
48	62.9	58.3	59.6
49	63.4	58.7	59.6
50	63.4	58.7	59.6
51	64	58.7	60.4
52	64	59.1	60.4
53	64.5	59.1	61
54	64.5	59.1	61
55	64.9	59.1	61
56	64.9	59.5	61
57	65.3	59.5	61
58	65.3	59.8	61
59	66	59.8	60.4
60	66	60.3	60.4
61	66.6	60.3	60
62	67.2	60.3	60
63	67.2	60.6	60
64	67.6	60.6	59.7
65	67.6	61.1	59.7
66	68.4	61.1	59.7
67	69.1	61.1	59.7
68	69.8	61.5	59.7
69	69.8	61.5	59.7
70	70.4	61.5	59.7
71	70.4	61.9	59.7
72	71.2	61.9	59.7
73	71.2	62.3	59.7
74	71.7	62.3	60.5
75	71.7	62.3	60.5
76	71.7	62.3	60
77	72.3	62.6	60
78	72.3	62.6	60
79	72.3	63.1	59.5
80	72.3	63.1	59.5
81	72.3	63.4	59.5
82	72.3	63.4	59.5
83	72.3	63.4	59.5
84	72.3	63.8	59.5
85	73	63.8	59.5
86	73	63.8	59.5
87	73.5	63.8	59.5
88	73.5	64.2	59.5
89	74.1	64.6	59.5
90	74.1	64.6	59.5
91	74.5	64.6	59.5
92	74.5	64.6	59.5
93	74.5	65.1	59.5
94	74.5	65.7	59.5
95	75.3	65.7	59.5
96	76.2	65.7	59.5
97	77	66.1	59.5
98	77	66.1	59.5
99	77	66.5	59.5
100	77.3	66.5	59.5
101	77.9	66.5	59.5
102	77.9	67.2	59.5
103	78.4	67.2	60.3
104	79	67.2	60.9
105	79	67.2	60.9
106	79.2	67.2	61.5
107	79.2	67.6	61.5
108	80.3	68.2	60.9
109	81.2	68.2	60.9
110	81.2	68.2	60.4
111	81.2	68.2	60.4
112	81.9	68.8	60
113	81.9	68.8	60
114	81.1	68.8	60.4
115	80.5	68.8	60.4
116	80.5	68.8	60.4
117	80.5	69.3	60.4
118	80.5	69.3	60
119	80.5	69.3	60
120	81	69.3	60
121	81.9	69.7	60
122	82.8	69.7	59.7
123	82.8	70.2	59.7
124	83.9	70.2	59.7
125	85	70.5	59.7
126	86.1	70.5	59.7
127	86.8	70.5	59.7
128	86.8	71	59.7
129	87.5	71	59.7
130	88.2	71.4	59.7
131	89.1	71.4	60.3
132	89.8	71.4	60.3
133	90.4	71.9	60
134	90.4	71.9	60
135	91	72.5	60
136	91	73.2	60
137	91.4	73.2	60
138	91.9	73.7	60
139	91.9	74.2	59.7
140	91.4	74.2	59.7
141	91.4	74.9	59.7
142	91.4	74.9	59.7
143	91.7	74.9	59.7
144	91.7	74.5	59.7
145	90.9	74.5	59.7
146	90.2	74.5	59.7
147	90.2	74	60
148	90.2	74	60
149	91.1	74.5	60
150	92.2	75	60
151	93.3	75	60
152	93.3	75	60
153	94.3	75.4	60
154	95.1	76.2	60
155	95.1	76.2	60.5
156	94.3	76.2	60.5
157	94.3	76.2	60.5
158	93.3	76.2	60.5
159	92.3	75.8	60.3
160	92.3	75.1	60.3
161	90.5	74.6	61
162	88.5	74	61
163	88.5	74	60.6
164	87.9	74	60.6
165	87.9	74	60.6
166	87.9	74	60.6
167	88.6	74.5	60.6
168	88.6	74.5	60.6
169	89.2	74.7	60.6
170	89.2	74.7	60.6
171	89.2	74.7	60.1
172	89.2	74.7	60.1
173	89.2	74.7	60.1
174	89.9	74.7	60.1
175	89.9	74.7	59.8
176	89.9	74.7	59.8
177	90.2	74.7	60.2
178	90.2	74.2	60.2
179	90.2	74.2	60.2
180	90.8	74.2	60.2
181	90.8	74.2	60.2
182	90.8	74.2	60.2
183	90.8	74.2	60.2
184	91.3	74.6	60.9
185	91.3	74.6	60.9
186	91.3	74.6	60.9
187	91.3	74.6	60.9
188	90.3	74.6	60.6
189	90.3	74.2	60.6
190	90.3	74.2	60.6
191	90.3	74.8	60.6
192	91.7	75.4	60.6
193	92.8	75.4	60.6
194	92.8	75.4	60.6
195	92.8	75.4	60.6
196	92.8	75.4	60.4
197	92.8	76.4	61.4
198	93.9	76.4	61.4
199	94.7	77.1	60.7
200	95.5	77.6	60.7
201	96.4	77.6	60.2
202	96.4	77.6	60.2
203	96.4	77.6	60.2
204	96.4	77.6	60.2
205	97.2	77.6	60.2
206	97.8	77.6	60.2
207	97.8	77.6	60.2
208	97.8	77.1	60
209	97.8	77.1	60
210	97.8	77.1	60
211	97.3	77.1	60
212	97.3	77.5	60
213	96.6	77.5	60
214	96.6	78.3	60
215	96.6	78.8	60
216	96.6	78.8	60
217	96	78.8	60
218	96	78.8	60
219	96.8	78.5	59.7
220	96.8	78.5	59.7
221	97.7	78.5	59.7
222	98.8	78.5	59.7
223	99.8	79.2	59.7
224	99.8	79.8	60.1
225	100.5	79.8	60.1
226	99.6	80.5	60.1
227	99.6	80.5	60.1
228	99	80.5	60.1
229	99	79.3	61.2
230	100.1	79.3	61.2
231	100.9	79.3	61.2
232	101.9	78.8	60.7
233	102.7	78.8	60.7
234	102.7	79.6	60.7
235	102.9	80.5	60.7
236	102	80.5	60.4
237	102	80.3	60.4
238	102	80.3	60.4
239	102.5	80.3	60.4
240	102.5	80.3	60.1
241	101.3	80.3	60.1
242	101.3	80.3	60.1
243	100.2	80.3	60.1
244	99.7	80.3	60.1
245	99.7	80.3	60.1
246	99	80.8	60.1
247	99	80.2	60.1
248	98.6	80.2	60.1
249	98	80.2	60.1
