t (seconds)	copper (deg F)	aluminum (deg F)	steel (deg F)
0	56.5	56	58.4
1	56.1	56	58.4
2	56.1	56	57.9
3	56.1	56	57.9
4	56.1	56	57.9
5	56.1	56	57.9
6	56.1	56	57.5
7	56.1	56	57.5
8	56.1	56	57.2
9	56.3	56	57.2
10	56.3	56	57.2
11	56.3	56	57.2
12	56.3	56	57.2
13	56.3	56	57.2
14	56.3	56	57.2
15	56.3	56	57.2
16	56.3	56	57.2
17	56.3	56	57.2
18	56.3	56	57.2
19	56.3	55.8	57.2
20	56.3	55.8	57.2
21	56.3	55.8	57.2
22	56.3	55.8	57.2
23	56.3	55.8	57.2
24	56.3	55.8	57.9
25	56.1	55.8	57.9
26	56.1	55.8	57.9
27	56.1	55.8	58.3
28	56.1	55.8	58.3
29	56.1	55.8	57.8
30	56.1	55.8	57.8
31	55.9	55.5	57.8
32	55.9	55.5	57.8
33	55.9	55.5	57.8
34	55.9	55.5	57.6
35	55.9	55.5	57.6
36	55.6	55.5	57.6
37	55.6	55.5	57.6
38	55.6	55.5	57
39	55.6	55.3	57
40	55.6	55.3	56.7
41	55.3	55.3	56.7
42	55.3	55.3	56.7
43	55.3	55.3	57.4
44	55	55	57.4
45	55	55	57.8
46	55	55	57.8
47	55	55	57.8
48	54.7	55	58.4
49	54.7	55	58.4
50	54.7	55	57.8
51	54.3	55	57.8
52	54.3	55	57.3
53	54.3	55	57.3
54	54.3	55	57.3
55	53.9	54.8	57.3
56	53.9	54.8	57.3
57	53.9	54.8	57.8
58	53.9	54.8	57.8
59	53.7	54.8	57.8
60	53.7	54.8	58.5
61	53.7	54.5	58.5
62	53.4	54.5	58.5
63	53.4	54.5	58.5
64	53.4	54.5	58
65	53	54.5	58
66	53	54.3	58
67	53	54.3	58
68	53	54.3	58.6
69	52.6	54.3	58.6
70	52.6	54.3	59.1
71	52.6	54.3	58.6
72	52.6	54.3	58.6
73	52.3	54.3	58.1
74	52.3	54	58.1
75	52.3	54	58.1
76	52.3	54	58.1
77	52.3	54	58.1
78	52.3	54	58.1
79	52	53.7	58.1
80	52	53.7	58.1
81	52	53.7	58.1
82	52	53.7	58.4
83	52	53.7	58.4
84	51.7	53.7	58.4
85	51.7	53.7	58.4
86	51.4	53.7	58.4
87	51.4	53.7	58.4
88	51.4	53.7	58.4
89	51.4	53.7	58.2
90	51.4	53.7	58.2
91	51	53.7	58.2
92	51	53.7	58.6
93	51	53.7	58.6
94	51	53.5	58.6
95	50.7	53.5	58.6
96	50.7	53.5	58.6
97	50.7	53.5	58.6
98	50.7	53.1	58.6
99	50.4	53.1	58.6
100	50.4	53.1	58.3
101	50.4	53.1	58.3
102	50.4	52.9	58.3
103	50.4	52.9	57.9
104	50.1	52.9	57.9
105	50.1	52.9	57.5
106	50.1	52.9	57.5
107	50.1	52.9	57.5
108	50.1	52.9	57.5
109	50.1	52.9	57.5
110	50.1	52.6	57.5
111	50.1	52.6	57.5
112	49.9	52.6	57.8
113	49.9	52.6	57.8
114	49.9	52.6	57.8
115	49.9	52.6	57.8
116	49.5	52.6	57.5
117	49.5	52.6	57.5
118	49.5	52.6	57.5
119	49.5	52.3	57.5
120	49.3	52.3	57.5
121	49.3	52.3	57.5
122	49.3	52.3	57.5
123	49.3	52.3	57.5
124	49.3	52.1	57.5
125	49.3	52.1	57
126	49.3	52.1	57
127	49.3	52.1	57
128	49.3	52.1	57
129	49	52.1	57
130	49	52.1	57
131	49	52.1	56.7
132	48.7	52.1	56.7
133	48.7	51.8	56.7
134	48.7	51.8	56.7
135	48.7	51.8	56.7
136	48.7	51.8	56.7
137	48.7	51.8	56.7
138	48.7	51.8	56.7
139	48.7	51.8	56.7
140	48.7	51.8	56.7
141	48.7	51.8	56.7
142	48.7	51.8	56.4
143	48.7	51.8	56.4
144	48.4	51.8	56.4
145	48.4	51.8	56.4
146	48.4	51.8	56.4
147	48.4	51.8	56.2
148	48.4	51.5	56.2
149	48.4	51.5	56.2
150	48.4	51.5	56.2
151	48.4	51.5	56.2
152	48.4	51.5	56.2
153	48.4	51.5	56.2
154	48.4	51.5	56.2
155	48.4	51.5	56.2
156	48.4	51.5	56.2
157	48.4	51.5	56.2
158	48.4	51.5	56.2
159	48.4	51.5	56.2
160	48.4	51.5	56.2
161	48.1	51.5	56.2
162	48.1	51.5	56.5
163	48.1	51.5	56.5
164	48.1	51.5	56.5
165	47.8	51.5	56.8
166	47.8	51.2	56.8
167	47.8	51.2	56.8
168	47.8	51.2	56.8
169	47.8	51.2	56.8
170	47.6	51.2	56.8
171	47.6	51.2	56.8
172	47.6	51.2	56.8
173	47.6	51.2	56.5
174	47.3	51.2	56.5
175	47.3	51.2	56.5
176	47.3	51.2	56.5
177	47.3	51.2	56.5
178	47	51.2	56.3
179	47	51.2	56.3
180	47	51.2	56.3
181	47	51.2	56.3
182	47	51.2	56.3
183	47	51.2	55.9
184	47	51.2	55.9
185	47	51.2	55.9
186	47	51.2	55.9
187	47	50.9	55.9
188	47	50.9	55.6
189	47	50.9	55.6
190	47	50.9	55.6
191	47	50.9	55.6
192	47	50.6	55.6
193	46.7	50.6	55.6
194	46.7	50.6	55.9
195	46.7	50.6	55.9
196	46.7	50.6	55.9
197	46.7	50.6	55.9
198	46.7	50.6	55.9
199	46.7	50.4	55.9
200	46.7	50.4	55.9
201	46.4	50.4	55.9
202	46.4	50.4	55.9
203	46.4	50.4	55.9
204	46.4	50.4	55.9
205	46.4	50.4	55.9
206	46.4	50.4	55.9
207	46.8	50.4	55.6
208	46.8	50.4	55.6
209	46.8	50.6	55.6
210	46.8	50.6	55.6
211	46.4	50.6	55.4
212	46.4	50.6	55.4
213	46.4	50.6	55.4
214	46.2	50.6	55.4
215	46.2	50.6	55.4
216	46.2	50.6	55.4
217	46.5	50.6	55.4
218	46.5	50.6	55.4
219	46.5	50.6	55.4
220	46.5	50.6	55.4
221	46.5	50.4	55.4
222	46.5	50.4	55.4
223	46.5	50.4	55.4
224	46.5	50.4	55.4
225	46.5	50.4	55.4
226	46.2	50.4	55.4
227	46.2	50.4	55.4
228	46.2	50.4	55.4
229	46.2	50.4	55.4
230	46.2	50.4	55.4
231	46.2	50.4	55.4
232	45.9	50.4	55.4
233	45.9	50.4	55.7
234	45.9	50.4	55.7
235	45.9	50.4	55.7
236	45.9	50.4	55.3
237	45.9	50.4	55.3
