t (seconds)	t1 (deg F)	t2 (deg F)	t3 (deg F)
0	52.3	52.3	49.8
1	52.3	52.1	49.8
2	52.3	52.1	49.8
3	52.3	52.1	49.8
4	52.3	52.1	49.8
5	52.3	52.1	49.8
6	52.3	52.1	49.8
7	52.3	52.1	49.8
8	52.3	52.1	49.8
9	52.3	52.1	50
10	52.3	52.1	50
11	52.3	52.1	50
12	52.3	52.1	50
13	52.3	52.1	50
14	52.3	52.1	50
15	52.3	52.1	50
16	52.3	52.1	50
17	52.1	52.1	50
18	52.1	52.1	50.3
19	52.1	52.1	50.3
20	52.1	52.1	50.3
21	52.1	52.1	50.3
22	52.1	52.1	50.3
23	52.1	52.1	50.3
24	52.1	52.1	50.3
25	52.1	52.1	50.3
26	52.1	52.1	50.3
27	52.5	52.1	50.3
28	53.1	52.7	51.2
29	53.1	53.9	52.6
30	55.3	55.7	53.6
31	56.1	56.8	54.5
32	57.4	59.4	55.9
33	58.7	62.4	56.7
34	60.2	64.1	56.7
35	61.1	67.5	57.5
36	63.3	69.3	57.5
37	64.6	72.9	58.3
38	67.2	76.5	59.6
39	68.5	78.2	61
40	71.3	81.6	63
41	74.2	85	64.1
42	75.6	86.6	66.1
43	78.4	89.7	67
44	81	91.2	67.7
45	82.2	93.8	67.7
46	84.5	96.3	67.7
47	86.6	97.4	69.3
48	87.7	99.6	70.3
49	89.8	101.5	71.2
50	90.8	102.5	72.7
51	92.9	104.3	74.7
52	94.9	105.1	75.9
53	95.9	105.9	78.5
54	97.7	107.5	79.6
55	99.5	108.9	81.3
56	100.3	110.3	83.3
57	102.1	110.3	84.4
58	102.9	111.5	86.4
59	104.5	112.6	88.3
60	106	113.5	89.3
61	106	114.3	90.2
62	107.5	115.1	91.7
63	108.8	115.1	93.2
64	110	115.9	94.1
65	111.1	116.6	94.1
66	111.1	117.3	95.1
67	112.2	118	96
68	113.1	118.6	97
69	113.9	118.6	97.7
70	114.7	119.2	97.7
71	115.5	119.8	98.6
72	115.5	119.8	99.3
73	116.3	120.5	99.3
74	116.9	120.5	100
75	117.5	121	100.3
76	117.5	121	99.3
77	117.5	121	97.1
78	117.5	121	97.1
79	117.5	121	95.9
80	117.5	121	95.3
81	117.5	120.6	95.3
82	117.5	120.6	95.3
83	117.5	120.6	95.3
84	117.5	120.4	95.3
85	117.5	120.4	95.7
86	117.8	120.4	96.3
87	117.8	120.4	96.3
88	117.8	120	96.3
89	117.8	119.5	96.3
90	117.4	119.5	95.7
91	117.4	119	95.7
92	117.4	119	96.2
93	116.9	119	96.2
94	116.9	118.6	96
95	116.6	118.6	96
96	116.6	118.6	96.5
97	116.6	118.2	96.5
98	116.6	118.2	97.1
99	116.6	117.7	97.8
100	116.9	117.7	98.3
101	116.9	117.3	98.3
102	116.9	117.3	98.7
103	116.9	117.3	98.7
104	116.9	116.8	99.2
105	116.9	116.8	99.2
106	116.9	116.1	97.8
107	116.9	116.1	96.7
108	116.5	115.5	96.7
109	116.5	115.5	96
110	116	114.8	96
111	116	114.8	96
112	116	114.2	96
113	115.6	113.7	96.4
114	115.6	113.7	96.4
115	115.6	113.7	97.2
116	115.2	113.3	97.2
117	115.2	113.3	97.8
118	115.2	113.3	97.8
119	114.9	112.9	98.1
120	114.9	112.9	98.1
121	114.9	112.9	98.1
122	114.9	112.6	98.5
123	114.6	112.6	98.5
124	114.6	112.2	98.5
125	114.6	112.2	98.5
126	114.2	112.2	98.5
127	114.2	111.6	97.7
128	113.7	111.6	97.7
129	113.7	111.1	97.3
130	113	111.1	97.3
131	112.4	110.6	96.8
132	112.4	110.6	96.8
133	111.7	110.2	96.3
134	111.7	110.2	96.3
135	111	110.2	95.7
136	111	109.9	95.2
137	110.3	109.9	95.2
138	110.3	109.5	95.2
139	109.8	109.5	95.2
140	109.8	109	95.2
141	109.8	109	95
142	109.3	108.6	95
143	108.7	108.6	95
144	108	108.1	94.1
145	107.4	108.1	94.1
146	107.4	108.1	93.6
147	106.8	107.7	93.1
148	106.8	107.7	93.1
149	106.8	107.3	93.1
150	106.3	107.3	92.8
151	105.9	107.3	92.8
152	105.9	106.9	92.3
153	105.4	106.9	92.3
154	105.4	106.6	92.3
155	104.9	106.6	91.9
156	104.9	106.6	91.9
157	104.4	106.2	91.9
158	104.4	106.2	91.9
159	104	106.2	91.9
160	104	105.8	91.9
161	104	105.8	91.9
162	103.7	105.8	92.3
163	103.7	105.4	92.3
164	103.7	105.4	92.3
165	103.7	104.9	92
166	103.4	104.9	92
167	103.4	104.3	92
168	103.4	103.7	91.6
169	102.9	103.7	91.6
170	102.9	103.1	91.1
171	102.4	103.1	91.1
172	101.8	102.4	90.4
173	101.8	102.4	90.4
174	101.4	101.6	90
175	101.4	101.6	90
176	101.4	100.9	90
177	101.1	100.2	89.7
178	101.1	100.2	89.7
179	100.7	99.7	89.7
180	100.7	99.7	89.7
181	100.3	99.2	89.7
182	100.3	99.2	89.7
183	100	98.6	89.7
184	100	98.6	89.7
185	100	98.1	89.7
186	99.6	98.1	89.7
187	99.6	97.6	88.4
188	99.1	97.6	86
189	99.1	96.9	86
190	98.3	96.2	85.3
191	97.8	96.2	85.3
192	97.8	95.7	85.3
193	97.8	95.7	85.3
194	97.3	95.7	85
195	97.3	95.2	85
196	97.3	95.2	85
197	96.9	94.8	83.8
198	96.2	94.8	83.8
199	96.2	94.2	83.3
200	95.6	94.2	83.3
201	95.6	93.6	82.6
202	95.1	93.6	82.6
203	95.1	93	82.2
204	94.6	93	82.2
205	94.6	92.5	81.7
206	94.1	92	81.7
207	94.1	92	81.7
208	94.1	91.5	81.4
209	93.7	91.5	81.4
210	93.7	90.9	81
211	93.2	90.9	81
212	92.4	90.4	79.8
213	92.4	90.4	79.6
214	91.9	89.8	79.6
215	91.9	89.8	79.6
216	91.9	89.3	79.3
217	91.4	89.3	79.3
218	91.4	88.8	79.3
219	91	88.4	79.3
220	91	88.4	79.7
221	91	88.4	79.7
222	90.6	88	79.7
223	90.6	88	80.2
224	90.2	88	80.2
225	90.2	87.7	80.5
226	90.2	87.7	80.5
227	89.8	87.7	80.5
228	89.8	87.7	80.5
229	89.3	87.7	80.5
230	89.3	87.7	80.5
231	88.9	87.4	80.5
232	88.9	87.4	80.5
233	88.5	87.4	80.5
234	88.5	87.1	80.5
235	88.5	87.1	80.5
236	88.1	87.1	80.5
237	88.1	87.1	80.2
238	88.1	87.1	80.2
239	88.1	87.1	80.2
240	88.1	87.1	80.2
241	87.8	87.1	80.2
242	87.8	87.1	80.2
243	87.8	87.1	80.2
244	87.4	86.8	80.2
245	87.4	86.8	80.2
246	87	86.8	80.2
247	87	86.8	79.6
248	87	86.6	79.1
249	86.5	86.6	79.1
250	86.5	86.6	78.5
251	86	86.2	77.6
252	85.4	86.2	77.6
253	85.4	85.7	76.8
254	85.4	85.7	76.8
255	84.8	85	74.8
256	84.2	84.3	74.8
257	84.2	84.3	74.8
258	84.2	83.7	74.8
259	83.8	83.7	74.8
260	83.8	83.2	74.5
261	83.5	83.2	74.5
262	83.5	83.2	74.5
263	83.5	82.8	74.5
264	83.5	82.8	74.5
265	83.2	82.8	74.5
266	83.2	82.4	74.5
267	83.2	82.4	74.5
268	83.2	82.4	74.5
269	82.7	82.1	74.5
270	82	82.1	74.5
271	82	81.7	74
272	81.5	81.7	74
273	81.5	81.7	74
274	81.5	81.4	74
275	81.3	81.4	73.8
276	81.3	81.4	73.8
277	81.3	81.4	73.8
278	81.3	81.1	73.3
279	81	81.1	73.3
280	81	80.6	73.3
281	81	80.6	73.3
282	80.6	80.1	73.3
283	80.6	80.1	73.3
284	80.6	80.1	73.3
285	80.6	79.8	73.3
286	80.3	79.8	73.3
287	80.3	79.8	73.3
288	80.3	79.8	73.3
289	80.3	79.8	73.3
290	80	79.5	73.3
291	80	79.5	73.3
292	80	79.5	72.7
293	79.5	79	72.7
294	79.5	79	72.7
295	79.1	78.6	72.7
296	79.1	78.6	72.7
297	79.1	78.6	72.7
298	78.8	78.3	72.7
299	78.8	78.3	72.7
