"Time (s) Run #1","Temperature 1 (°C) Run #1","Temperature 2 (°C) Run #1","Temperature 3 (°C) Run #1","Temperature 4 (°C) Run #1"
0.000,10.80,11.95,13.24,22.10
0.050,10.80,11.95,13.24,22.10
0.100,10.80,11.95,13.24,22.11
0.150,10.80,11.95,13.25,22.11
0.200,10.80,11.95,13.25,22.11
0.250,10.81,11.96,13.25,22.11
0.300,10.80,11.95,13.25,22.11
0.350,10.81,11.96,13.26,22.12
0.400,10.81,11.96,13.26,22.13
0.450,10.81,11.96,13.26,22.13
0.500,10.82,11.96,13.26,22.14
0.550,10.81,11.96,13.27,22.14
0.600,10.82,11.97,13.27,22.15
0.650,10.82,11.97,13.27,22.16
0.700,10.82,11.97,13.28,22.17
0.750,10.82,11.97,13.28,22.17
0.800,10.82,11.97,13.28,22.18
0.850,10.82,11.97,13.28,22.18
0.900,10.82,11.97,13.29,22.19
0.950,10.83,11.97,13.29,22.19
1.000,10.83,11.98,13.29,22.19
1.050,10.83,11.98,13.29,22.19
1.100,10.83,11.98,13.29,22.19
1.150,10.83,11.98,13.30,22.19
1.200,10.84,11.98,13.30,22.19
1.250,10.84,11.98,13.30,22.19
1.300,10.84,11.98,13.31,22.19
1.350,10.84,11.98,13.31,22.19
1.400,10.84,11.98,13.31,22.19
1.450,10.85,11.98,13.31,22.19
1.500,10.84,11.99,13.31,22.20
1.550,10.85,11.99,13.32,22.19
1.600,10.85,11.99,13.32,22.19
1.650,10.85,11.99,13.32,22.20
1.700,10.85,11.99,13.33,22.20
1.750,10.85,12.00,13.32,22.20
1.800,10.85,11.99,13.33,22.20
1.850,10.85,12.00,13.33,22.21
1.900,10.86,12.00,13.34,22.21
1.950,10.86,12.00,13.34,22.21
2.000,10.86,12.01,13.34,22.21
2.050,10.86,12.00,13.34,22.21
2.100,10.86,12.01,13.35,22.21
2.150,10.87,12.01,13.35,22.21
2.200,10.86,12.01,13.35,22.21
2.250,10.87,12.01,13.35,22.21
2.300,10.87,12.01,13.35,22.21
2.350,10.87,12.01,13.36,22.21
2.400,10.87,12.01,13.36,22.21
2.450,10.87,12.01,13.36,22.21
2.500,10.88,12.01,13.37,22.21
2.550,10.88,12.01,13.37,22.21
2.600,10.88,12.02,13.37,22.21
2.650,10.88,12.02,13.37,22.21
2.700,10.88,12.02,13.38,22.21
2.750,10.89,12.02,13.38,22.21
2.800,10.89,12.03,13.38,22.21
2.850,10.89,12.02,13.38,22.21
2.900,10.89,12.02,13.39,22.21
2.950,10.89,12.03,13.39,22.21
3.000,10.89,12.03,13.39,22.21
3.050,10.89,12.03,13.39,22.21
3.100,10.90,12.03,13.40,22.21
3.150,10.90,12.03,13.40,22.21
3.200,10.90,12.03,13.40,22.21
3.250,10.90,12.03,13.40,22.21
3.300,10.90,12.04,13.41,22.20
3.350,10.90,12.04,13.41,22.21
3.400,10.90,12.04,13.41,22.20
