Object Radius(km) Mass(kg) Siderealrotationperiod Inclinationofequatortoorbitplane Semimajoraxisoforbit(km) Orbiteccentricity Inclinationoforbittotheeclipticplane Orbitsiderealperiod mu SOI(km) extra
Sun 696000 1.989e30 25.38d 7.25deg – – – – 132712440018 –
Mercury 2440 330.2e21 58.65d 0.01deg 57.91e6 0.2056 7.00deg 87.97d 22032 112000
Venus 6052 4.869e24 243d(-) 177.4deg 108.2e6 0.0067 3.39deg 224.7d 324859 616000
Earth 6378 5.974e24 23.9345h 23.45deg 149.6e6 0.0167 0.00deg 365.256d 398600 925000
(Moon) 1737 73.48e21 27.32d 6.68deg 384.4e3 0.0549 5.145deg 27.322d 4905 66100
Mars 3396 641.9e21 24.62h 25.19deg 227.9e6 0.0935 1.850deg 1.881y 42828 577000
Jupiter 71490 1.899e27 9.925h 3.13deg 778.6e6 0.0489 1.304deg 11.86y 126686534 48200000
Saturn 60270 568.5e24 10.66h 26.73deg 1.433e9 0.0565 2.485deg 29.46y 37931187 54800000
Uranus 25560 86.83e24 17.24h(-) 97.77deg 2.872e9 0.0457 0.772deg 84.01y 5793939 51800000
Neptune 24764 102.4e24 16.11h 28.32deg 4.495e9 0.0113 1.769 164.8y 6836529 86600000
(Pluto) 1187 13.03e21 6.387d(-) 122.5deg 5.906e9 0.2488 17.16deg 247.9y 871 3080000
